"filename", "language", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Button-Login-SignUp/Continuewithgoogle.tsx", "TypeScript JSX", 16, 0, 0, 6, 22
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Button-Login-SignUp/Signupwithgoogle.tsx", "TypeScript JSX", 15, 0, 0, 5, 20
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/ChatBoxButtons/AttachmentButton.tsx", "TypeScript JSX", 8, 0, 0, 1, 9
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/ChatBoxButtons/ChatSendButton.tsx", "TypeScript JSX", 8, 0, 0, 1, 9
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/ChatBoxButtons/VideoCallButton.tsx", "TypeScript JSX", 10, 0, 0, 2, 12
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/MyAccount.tsx", "TypeScript JSX", 9, 0, 0, 1, 10
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/RoomButtons/Editors.tsx", "TypeScript JSX", 96, 0, 4, 15, 115
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/RoomButtons/UploadFile.tsx", "TypeScript JSX", 15, 0, 0, 4, 19
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/RoomButtons/UploadVideo.tsx", "TypeScript JSX", 24, 0, 9, 12, 45
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/SideNavButtons/CreateRoomButton.tsx", "TypeScript JSX", 25, 0, 0, 7, 32
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/SideNavButtons/DashboardButton.tsx", "TypeScript JSX", 14, 0, 0, 4, 18
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/SideNavButtons/LogoutButton.tsx", "TypeScript JSX", 33, 0, 0, 6, 39
"/home/pranshubarar/Project Integration files /CueCollab Files/CueCollabProject/CueCollab/CueCollab-Frontend/ui/Buttons/Buttons-User/SideNavButtons/RoomInvitesButton.tsx", "TypeScript JSX", 14, 0, 37, 23, 74
